"dtmnfr16","dtmnfr24","area_ha_16","area_ha_24","weight"
"110501","110501",3975.57,3975.57,1
"110506","110506",2036.43,2036.43,1
"110507","110507",810.99,810.99,1
"110508","110508",2915.92,2915.92,1
"110601","110601",287.66,287.66,1
"110602","110602",507.48,507.48,1
"110607","110607",248.38,248.38,1
"110608","110608",802.49,802.49,1
"110610","110610",277.43,277.43,1
"110611","110611",368.91,368.91,1
"110618","110618",657.49,657.49,1
"110621","110621",712.24,712.24,1
"110633","110633",808.8,808.8,1
"110639","110639",429.43,429.43,1
"110654","110654",534.17,534.17,1
"110655","110655",171.89,171.89,1
"110656","110656",212.78,212.78,1
"110657","110657",299.45,299.45,1
"110658","110658",1042.76,1042.76,1
"110659","110659",165.14,165.14,1
"110660","110660",460.4,460.4,1
"110661","110661",219.22,219.22,1
"110662","110662",543.5,543.5,1
"110663","110663",271.07,271.07,1
"110664","110664",335.55,335.55,1
"110665","110665",301.16,301.16,1
"110666","110666",149.43,149.43,1
"110667","110667",198.58,198.58,1
"110702","110702",3396.9,3396.9,1
"110705","110705",1162.91,1162.91,1
"110707","110707",3281.5,3281.5,1
"110708","110708",1652.21,1652.21,1
"110726","110726",165.63,165.63,1
"110727","110727",388.55,388.55,1
"110728","110728",1759.19,1759.19,1
"110729","110729",2840.8,2840.8,1
"110730","110730",919.71,919.71,1
"110731","110731",1156.59,1156.59,1
"110902","110902",821.29,821.29,1
"110904","110904",2851.13,2851.13,1
"110906","110906",1205.01,1205.01,1
"110909","110909",4795.27,4795.27,1
"110911","110911",2074.48,2074.48,1
"110913","110913",2483.19,2483.19,1
"110918","110918",3062.76,3062.76,1
"110919","110919",3164.57,3164.57,1
"110920","110920",3706.58,3706.58,1
"110921","110921",1684.53,1684.53,1
"110922","110922",2948.03,2948.03,1
"111002","111002",901.33,901.33,1
"111009","111009",734.29,734.29,1
"111012","111012",718.28,718.28,1
"111013","111013",881.28,881.28,1
"111014","111014",1353.13,1353.13,1
"111102","111102",1599.55,1599.55,1
"111105","111105",3337.17,3337.17,1
"111108","111108",1649.38,1649.38,1
"111115","111115",216.95,216.95,1
"111122","111122",598.06,598.06,1
"111124","111124",444.38,444.38,1
"111125","111125",308.58,308.58,1
"111128","111128",6355.25,6355.25,1
"111408","111408",1792.9,1792.9,1
"111409","111409",21286.96,21286.96,1
"111412","111412",2753.54,2753.54,1
"111413","111413",2391.8,2391.8,1
"111414","111414",2678.11,2678.11,1
"111415","111415",916.1,916.1,1
"111512","111512",251.12,251.12,1
"111513","111513",221.28,221.28,1
"111514","111514",280.2,280.2,1
"111515","111515",285.74,285.74,1
"111516","111516",809.22,809.22,1
"111517","111517",530.92,530.92,1
"111603","111603",504.45,504.45,1
"111608","111608",921.03,921.03,1
"111609","111609",262.97,262.97,1
"111610","111610",965.91,965.91,1
"150201","150201",11944.17,11944.17,1
"150202","150202",412.44,412.44,1
"150203","150203",416.17,416.17,1
"150303","150303",1017.82,1017.82,1
"150312","150312",615.45,615.45,1
"150313","150313",1674.56,1674.56,1
"150314","150314",2905.13,2905.13,1
"150315","150315",787.93,787.93,1
"150407","150407",769.67,769.67,1
"150409","150409",717.91,717.91,1
"150410","150410",773.56,773.56,1
"150411","150411",1377.93,1377.93,1
"150601","150601",1790.73,1790.73,1
"150603","150603",1794.15,1794.15,1
"150607","150607",642.05,642.05,1
"150608","150608",1299.05,1299.05,1
"150701","150701",21197.12,21197.12,1
"150704","150704",1176.58,1176.58,1
"150709","150709",1364.9,1364.9,1
"150710","150710",3146,3146,1
"150711","150711",7977.03,7977.03,1
"150802","150802",7743.45,7743.45,1
"150803","150803",5444.3,5444.3,1
"150804","150804",5111.76,5111.76,1
"150806","150806",28212.51,28212.51,1
"151002","151002",2433.33,2433.33,1
"151005","151005",1730.97,1730.97,1
"151006","151006",2390.56,2390.56,1
"151101","151101",17931.96,17931.96,1
"151102","151102",201.37,201.37,1
"151103","151103",1437.63,1437.63,1
"151205","151205",2551.87,2551.87,1
"151207","151207",3322.99,3322.99,1
"151208","151208",6548.87,6548.87,1
"151209","151209",6931.54,6931.54,1
"151210","151210",3676.53,3676.53,1
"151007","151008",2990.31,1016.74,0.340011570706716
"151007","151009",2990.31,1600.76,0.535315736495547
"151007","151010",2990.31,372.81,0.124672692797737
"111127","111134",8359.71,5750,0.68782290294759
"111127","111135",8359.71,2609.71,0.31217709705241
"111123","111129",6406.75,3979.91,0.621205759550474
"111123","111131",6406.75,861.9,0.134529987903383
"111123","111132",6406.75,1564.94,0.244264252546143
"111126","111130",2646.93,2283.85,0.862829768826527
"111126","111133",2646.93,363.08,0.137170231173473
